2023-05-07 10:04:33.093 [info] Log level: Info
2023-05-07 10:04:33.093 [info] Validating found git in: "git"
2023-05-07 10:04:33.093 [info] Using git "2.40.1" from "git"
2023-05-07 10:04:33.093 [info] > git rev-parse --show-toplevel [3ms]
2023-05-07 10:04:33.093 [info] > git rev-parse --show-toplevel [10ms]
2023-05-07 10:04:33.093 [info] > git rev-parse --show-toplevel [0ms]
2023-05-07 10:04:33.139 [info] > git rev-parse --show-toplevel [1ms]
2023-05-07 10:04:33.483 [info] > git rev-parse --show-toplevel [1ms]
2023-05-07 10:04:35.246 [info] > git rev-parse --show-toplevel [1ms]
2023-05-07 10:04:36.454 [info] > git rev-parse --show-toplevel [0ms]
